Product ID,Order ID,Product Name,Customer ID,Customer Name,Quantity,Order Date,Unit Price,Total Price,Category
8041,10626,Refrigerator,1143,Ashley Buchanan,3,2021-07-16,570.66,1711.98,Home Appliances
4240,10744,Yoga Mat,1176,Travis Martinez,1,2021-10-07,339.97,339.97,Sports
5291,10576,T-Shirt,1078,Emily Perez,1,2022-04-09,49.16,49.16,Clothing
8709,10958,Moisturizer,1034,David Mueller,5,2024-12-18,13.04,65.2,Beauty
2065,10690,Running Shoes,1162,Karina Price,2,2023-11-16,191.85,383.7,Sports
9137,10686,Refrigerator,1101,James Smith,4,2025-08-26,524.64,2098.56,Home Appliances
2164,10800,Shampoo,1009,Matthew Mcguire,3,2024-12-03,76.46,229.38,Beauty
5948,10500,Football,1142,Megan Medina,1,2022-09-25,105.45,105.45,Sports
6592,10783,Moisturizer,1073,Jonathan Collier,3,2022-09-07,43.55,130.65,Beauty
1301,10125,Washing Machine,1043,Julia Waller,2,2025-09-24,479.46,958.92,Home Appliances
1238,10967,Laptop,1036,Holly Smith,1,2025-08-18,786.4,786.4,Electronics
2653,10320,Lipstick,1144,Joyce Wilson,2,2022-03-14,96.58,193.16,Beauty
2628,10653,Laptop,1145,Glenda Luna,1,2023-04-19,1054.9,1054.9,Electronics
4087,10375,Yoga Mat,1120,Sean Moore,2,2024-11-28,79.48,158.96,Sports
6473,10753,Running Shoes,1191,Elizabeth Meza,4,2021-05-30,112.11,448.44,Sports
9951,10636,T-Shirt,1030,Christina Russell,4,2023-06-12,143.47,573.88,Clothing
2153,10048,Football,1107,Nicole Mckay,4,2021-02-23,278.71,1114.84,Sports
3500,10752,Smartwatch,1057,Kaitlyn Yu,2,2023-07-13,735.04,1470.08,Electronics
1990,10056,Vacuum Cleaner,1006,Megan Snow,3,2022-03-11,207.71,623.13,Home Appliances
5648,10197,Headphones,1096,Blake Jones,5,2024-08-11,1417.34,7086.7,Electronics
7562,10612,Shampoo,1136,Kelly Martinez,5,2021-06-11,15.51,77.55,Beauty
3285,10091,Air Conditioner,1098,William Bass,2,2022-10-22,1028.28,2056.56,Home Appliances
5692,10944,Running Shoes,1029,Natasha Duncan,5,2021-02-14,297.51,1487.55,Sports
6739,10436,Laptop,1002,James Griffith,3,2024-07-21,303.63,910.89,Electronics
7133,10723,Perfume,1017,Matthew Baldwin,1,2024-09-18,60.92,60.92,Beauty
7312,10477,Smartwatch,1120,Jeffery Flores,4,2021-12-05,805.81,3223.24,Electronics
7436,10772,Washing Machine,1013,Jesse Lang,4,2021-08-15,339.01,1356.04,Home Appliances
2569,10280,T-Shirt,1065,Michael Snyder,4,2024-11-09,149.81,599.24,Clothing
6144,10591,Smartphone,1091,Bailey Ward,2,2025-05-31,633.08,1266.16,Electronics
4718,10235,Football,1165,Jennifer Adams,2,2022-07-02,106.57,213.14,Sports
7061,10309,Headphones,1073,Teresa Tran,2,2021-01-23,496.29,992.58,Electronics
4709,10171,Jeans,1083,Patricia Armstrong,4,2025-03-05,144.91,579.64,Clothing
8429,10880,Shampoo,1165,Lauren Williams,4,2023-10-21,59.97,239.88,Beauty
3961,10885,Tennis Racket,1027,Brett Walton,1,2023-01-28,102.82,102.82,Sports
7952,10234,Lipstick,1111,Jason Taylor,4,2022-04-11,81.2,324.8,Beauty
1966,10669,Foundation,1048,Diana Mueller,1,2023-02-15,92.41,92.41,Beauty
1243,10922,Jeans,1114,Carolyn Kirk,2,2023-07-18,60.22,120.44,Clothing
8794,10078,Yoga Mat,1030,Ian Young,1,2024-06-11,437.18,437.18,Sports
2191,10038,Air Conditioner,1036,John Ware,4,2024-03-11,375.24,1500.96,Home Appliances
2412,10732,Dumbbell Set,1181,Gregory Martinez,3,2022-09-13,458.94,1376.82,Sports
2246,10431,Microwave,1187,Eric Mitchell,3,2023-06-09,813.11,2439.33,Home Appliances
5503,10332,Dumbbell Set,1066,Bethany Anderson MD,1,2022-07-28,123.55,123.55,Sports
7830,10306,Smartwatch,1163,Wendy Jones,3,2025-04-15,642.58,1927.74,Electronics
3247,10527,Tennis Racket,1099,Aaron Finley,1,2021-05-05,36.72,36.72,Sports
4619,10885,Jeans,1038,Yolanda Moore,4,2023-03-16,185.67,742.68,Clothing
9019,10659,Laptop,1183,Jason Richmond,5,2024-08-26,863.94,4319.7,Electronics
6389,10476,Headphones,1066,Amy Jimenez,3,2021-04-17,629.08,1887.24,Electronics
6453,10799,Refrigerator,1058,Gina Gutierrez,1,2021-06-07,242.81,242.81,Home Appliances
8621,10219,Jacket,1115,Mary Mitchell,5,2021-10-05,49.3,246.5,Clothing
9912,10415,Microwave,1061,Joseph Peters,1,2025-02-02,578.65,578.65,Home Appliances
7102,10987,T-Shirt,1156,Dennis Cooley,4,2024-06-06,113.55,454.2,Clothing
4935,10531,Air Conditioner,1112,Bonnie Hopkins,3,2024-01-31,1151.26,3453.78,Home Appliances
4929,10026,Air Conditioner,1094,Brent Brown,3,2023-03-26,804.84,2414.52,Home Appliances
8225,10321,Jacket,1145,Mrs. Andrea Glover,4,2023-09-14,89.58,358.32,Clothing
2992,10166,Running Shoes,1160,Timothy Morrison,1,2022-11-18,446.16,446.16,Sports
6526,10199,Moisturizer,1143,Christopher Richards,1,2025-06-18,71.69,71.69,Beauty
4125,10771,Dress,1125,Katherine Vazquez,4,2025-01-01,80.04,320.16,Clothing
8820,10540,Lipstick,1023,Daniel Henderson,2,2023-12-20,89.29,178.58,Beauty
9968,10362,Smartphone,1029,Chad Thompson,3,2022-07-15,1274.25,3822.75,Electronics
7586,10855,Tablet,1133,Gavin Solis,5,2024-11-14,381.48,1907.4,Electronics
9904,10261,Smartwatch,1194,Christopher Roberts,3,2025-02-18,1098.64,3295.92,Electronics
5408,10911,Headphones,1128,Judy Taylor,1,2023-10-15,489.15,489.15,Electronics
5632,10049,Headphones,1075,Luis Hardin,4,2025-08-19,626.69,2506.76,Electronics
7200,10686,Laptop,1099,Sarah Morrow,2,2024-03-28,1055.14,2110.28,Electronics
4845,10276,Refrigerator,1197,John Hansen,5,2023-06-14,886.26,4431.3,Home Appliances
5663,10336,Jacket,1042,Richard Williams,5,2021-05-03,82.5,412.5,Clothing
7264,10886,Tennis Racket,1062,Rebecca Gilmore,3,2025-08-27,147.78,443.34,Sports
2687,10663,Dress,1135,Christopher Calhoun,2,2021-01-17,133.35,266.7,Clothing
7450,10003,Jacket,1042,Elizabeth Johnson,1,2023-03-05,107.25,107.25,Clothing
3193,10452,Air Conditioner,1190,Derek Parker,1,2023-12-08,1072.74,1072.74,Home Appliances
4097,10819,Refrigerator,1173,Karen Goodman,3,2023-09-13,697.71,2093.13,Home Appliances
5985,10347,T-Shirt,1164,Mr. James Mclean,5,2023-03-07,123.47,617.35,Clothing
